Crop,Growth_Stage,Ideal_Nitrogen,Ideal_Phosphorus,Ideal_Potassium,Ideal_pH,Source
wild rice,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
wild rice,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
wild rice,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
winged bean,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
winged bean,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
winged bean,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
wood apple,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
wood apple,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
wood apple,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
yam,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
yam,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
yam,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
zucchini,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
zucchini,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
zucchini,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
Default,All Stages,40.0,40.0,40.0,6.5,ICAR General Recommendation
wheat,Basal / Sowing,60.0,60.0,40.0,6.5,ICAR Wheat Agronomy Standard
wheat,CRI (Crown Root Initiation),30.0,0.0,0.0,6.5,ICAR Wheat Agronomy Standard
wheat,Booting / Jointing Stage,30.0,0.0,0.0,6.5,ICAR Wheat Agronomy Standard
rice,Basal / Sowing,50.0,50.0,25.0,6.5,ICAR Rice Agronomy Standard
rice,Active Tillering,25.0,0.0,0.0,6.5,ICAR Rice Agronomy Standard
rice,Panicle Initiation,25.0,0.0,25.0,6.5,ICAR Rice Agronomy Standard
paddy,Basal / Sowing,50.0,50.0,25.0,6.5,ICAR Rice Agronomy Standard
paddy,Active Tillering,25.0,0.0,0.0,6.5,ICAR Rice Agronomy Standard
paddy,Panicle Initiation,25.0,0.0,25.0,6.5,ICAR Rice Agronomy Standard
maize,Basal / Sowing,45.0,62.5,50.0,6.8,ICAR Maize Agronomy Standard
maize,Knee High Stage,45.0,0.0,0.0,6.8,ICAR Maize Agronomy Standard
maize,Tasseling / Silking,45.0,0.0,0.0,6.8,ICAR Maize Agronomy Standard
sugarcane,Basal / Planting,75.0,115.0,40.0,6.8,ICAR Sugarcane Research Institute
sugarcane,Tillering Stage,100.0,0.0,35.0,6.8,ICAR Sugarcane Research Institute
sugarcane,Grand Growth Phase,75.0,0.0,40.0,6.8,ICAR Sugarcane Research Institute
cotton,Basal / Sowing,37.5,60.0,45.0,7.0,ICAR Central Institute for Cotton Research
cotton,Square Formation,75.0,0.0,0.0,7.0,ICAR Central Institute for Cotton Research
cotton,Peak Flowering / Boll Dev,37.5,0.0,45.0,7.0,ICAR Central Institute for Cotton Research
potato,Basal / Planting,90.0,100.0,60.0,5.8,ICAR Central Potato Research Institute
potato,Earthing Up / Tuber Dev,90.0,0.0,60.0,5.8,ICAR Central Potato Research Institute
chickpea,Basal / Sowing,20.0,50.0,20.0,6.8,ICAR Indian Institute of Pulses Research
soybean,Basal / Sowing,30.0,80.0,40.0,6.5,ICAR Indian Institute of Soybean Research
groundnut,Basal / Sowing,25.0,50.0,75.0,6.5,ICAR Directorate of Groundnut Research
mustard,Basal / Sowing,40.0,40.0,40.0,6.5,ICAR Directorate of Mustard Research
mustard,Flowering Stage,40.0,0.0,0.0,6.5,ICAR Directorate of Mustard Research
tomato,Basal / Transplanting,75.0,100.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
tomato,Fruit Development,75.0,0.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
onion,Basal / Transplanting,50.0,50.0,50.0,6.5,ICAR Directorate of Onion & Garlic Research
onion,Bulb Development,50.0,0.0,50.0,6.5,ICAR Directorate of Onion & Garlic Research
chilli,Basal / Transplanting,40.0,60.0,20.0,6.5,ICAR IIHR Standards
chilli,Flowering & Fruiting,40.0,0.0,20.0,6.5,ICAR IIHR Standards
chilli,Fruit Picking Stage,40.0,0.0,20.0,6.5,ICAR IIHR Standards
